Hash;Geschlecht;Nachname;Vorname;Strasse;PLZ;Ort;Land;Email;TEL_P;Home-Page;Portraet;;;;;;;;;;;
20;Herr;Breitegger;Walter;Allmeindstrasse 51;8853;Lachen;CH;walter.breitegger@gmail.ch;055 442 48 33;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_1.jpg;;;;;;;;;;;
22;Frau;Bruhin;Walter;Alpenblick 3;8854;Siebnen;CH;walter.bruhin@gmail.ch;055 440 26 15;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_2.jpg;;;;;;;;;;;
23;Herr;Bruhin;Walter;Alpenblick 3;8853;Lachen;CH;walter.bruhin@gmail.ch;055 442 44 77;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_3.jpg;;;;;;;;;;;
24;Herr;Bruehlmann;Walter;Alpenblickstrasse 1;8240;Thayngen / SH;CH;walter.bruehlmann@gmail.ch;052 640 01 43;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_4.jpg;;;;;;;;;;;
25;Frau;Bueeler;Walter;Alpenstrasse 4;8853;Lachen;CH;walter.bueeler@gmail.ch;055 442 12 34;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_5.jpg;;;;;;;;;;;
27;Herr;Buehrer;Walter;Alte Wollerauerstr. 10;8853;Lachen;CH;walter.buehrer@gmail.ch;055 442 80 32;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_6.jpg;;;;;;;;;;;
28;Frau;Buehrer;Vreni;Alte Wollerauerstr. 10;8853;Lachen;CH;vreni.buehrer@gmail.ch;055 442 80 32;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_7.jpg;;;;;;;;;;;
29;Herr;Cavegn;Volker;Alte Wollerauerstrasse 30;8853;Lachen;CH;volker.cavegn@gmail.ch;055 442 13 65;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_8.jpg;;;;;;;;;;;
30;Frau;Corsi;Vital;Alte Wollerauerstrasse 44;8854;Siebnen;CH;vital.corsi@gmail.ch;055 440 25 03;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_9.jpg;;;;;;;;;;;
31;Familie;Corsi;Vincenzo;Alte Wolleraustrasse 44;8854;Siebnen;CH;vincenzo.corsi@gmail.ch;055 440 25 03;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_10.jpg;;;;;;;;;;;
32;Frau;Diethelm;Vica;Am Platz 8;8853;Lachen;CH;vica.diethelm@gmail.ch;055 442 37 71;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_11.jpg;;;;;;;;;;;
33;Frau;Diethelm;Verena;Am Platz 8;8808;Pfaeffikon;CH;verena.diethelm@gmail.ch;055 410 43 01;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_12.jpg;;;;;;;;;;;
34;Familie;Diethelm;Verena;Am Stutz 5;8808;Pfaeffikon;CH;verena.diethelm@gmail.ch;055 410 43 01;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_1.jpg;;;;;;;;;;;
35;Frau;Dobler;Vera;Appisberstrasse 2;8862;Schuebelbach;CH;vera.dobler@gmail.ch;055 440 53 72;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_2.jpg;;;;;;;;;;;
36;Familie;Doenni;Ursula;Ausserdorfweg 4;8853;Lachen;CH;ursula.doenni@gmail.ch;055 283 26 65;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_3.jpg;;;;;;;;;;;
37;Frau;Doenni;Ursula;Bahnhofstrasse 11;8853;Lachen;CH;ursula.doenni@gmail.ch;055 283 26 65 ;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_4.jpg;;;;;;;;;;;
41;Herr;Dubach;Ursula;Bahnhofstrasse 59;8841;Gross;CH;ursula.dubach@gmail.ch;055 123 45 67 ;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_5.jpg;;;;;;;;;;;
42;Frau;Dubach;Urs;Bahnhofstrasse 7;8853;Lachen;CH;urs.dubach@gmail.ch;055 442 16 45;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_6.jpg;;;;;;;;;;;
45;Herr;Dueggelin;Urs;Bauernhofstrasse 12;8853;Lachen;CH;urs.dueggelin@gmail.ch;055 442 76 58;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_7.jpg;;;;;;;;;;;
50;Herr;Erni;Urban;Bernkastelerstrasse 41;8853;Lachen;CH;urban.erni@gmail.ch;055 442 50 43;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_8.jpg;;;;;;;;;;;
52;Familie;Faeh;Ulrich;Bettnaustrasse 8;8852;Altendorf;CH;ulrich.faeh@gmail.ch;055 462 15 01;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_9.jpg;;;;;;;;;;;
54;Frau;Faeh;Theresa;Biberzeltenstrasse 15;8852;Altendorf;CH;theresa.faeh@gmail.ch;055 462 15 01;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_10.jpg;;;;;;;;;;;
55;Familie;Faeh;Theresa;Blumenstrasse 17;8852;Altendorf;CH;theresa.faeh@gmail.ch;055 462 26 52;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_11.jpg;;;;;;;;;;;
59;Herr;Glaus;Theres;Bolenberg 71;8854;Galgenen;CH;theres.glaus@gmail.ch;055 440 48 41;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_12.jpg;;;;;;;;;;;
61;Familie;Glutz;Theres;Brandweid 36;8832;Wollerau;CH;theres.glutz@gmail.ch;044 784 38 02;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_1.jpg;;;;;;;;;;;
62;Frau;Glutz;Theo;Brandweid 36;8832;Wollerau;CH;theo.glutz@gmail.ch;044 784 38 02;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_2.jpg;;;;;;;;;;;
68;Herr;Gruber;Sybille;Breitenstrasse  6;8853;Lachen;CH;sybille.gruber@gmail.ch;055 442 53 25;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_3.jpg;;;;;;;;;;;
69;Frau;Gschwend;Susanne;Breitenstrasse  6;8853;Lachen;CH;susanne.gschwend@gmail.ch;055 442 25 68;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_4.jpg;;;;;;;;;;;
71;Herr;Hegner;Stefanie;Breitenstrasse  6;8854;Siebnen;CH;stefanie.hegner@gmail.ch;055 440 74 08;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_5.jpg;;;;;;;;;;;
74;Frau;Hegner;Stefan;Breitenstrasse  6;8853;Lachen;CH;stefan.hegner@gmail.ch;055 442 27 47;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_6.jpg;;;;;;;;;;;
78;Familie;Hertenstein;Spreitenbach;Buchenweg 14;8853;Lachen;CH;spreitenbach.hertenstein@gmail.ch;055 442 50 57;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_7.jpg;;;;;;;;;;;
79;Frau;Hertenstein;Simon;Buchenweg 6;8853;Lachen;CH;simon.hertenstein@gmail.ch;055 442 50 57;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_8.jpg;;;;;;;;;;;
87;Herr;Holdener;Silvia;Bueelhof 3;8854;Siebnen;CH;silvia.holdener@gmail.ch;055 440 27 62;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_9.jpg;;;;;;;;;;;
86;Familie;Holdener-Hollenstein;Sibylle;Bueelstrasse 1a;8853;Lachen;CH;sibylle.holdener-hollenstein@gmail.ch;055 442 82 54;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_10.jpg;;;;;;;;;;;
88;Frau;Hollenstein;Severin;Bueelstrasse 1a;8737;Gommiswald;CH;severin.hollenstein@gmail.ch;055 280 33 76;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_11.jpg;;;;;;;;;;;
89;Herr;Hollenstein;Sebastian;Buergerheimstrasse 5;8853;Lachen;CH;sebastian.hollenstein@gmail.ch;055 442 87 42;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_12.jpg;;;;;;;;;;;
90;Frau;Hollenstein;Saskia;Buergerheimstrasse 9;8853;Lachen;CH;saskia.hollenstein@gmail.ch;055 442 87 42;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_1.jpg;;;;;;;;;;;
91;Frau;Hollenstein;Sarah;Buergital;8853;Lachen;CH;sarah.hollenstein@gmail.ch;055 442 07 60;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_2.jpg;;;;;;;;;;;
94;Familie;Hollenstein;Ruth;Buobental 3;8853;Lachen;CH;ruth.hollenstein@gmail.ch;055 442 87 42;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_3.jpg;;;;;;;;;;;
93;Familie;Hollenstein;Ruedi;Churerestrasse 14;8853;Lachen;CH;ruedi.hollenstein@gmail.ch;055 442 07 60;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_4.jpg;;;;;;;;;;;
97;Frau;Janser;Ruedi;Churerstrasse 101;8853;Lachen;CH;ruedi.janser@gmail.ch;055 280 30 22;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_5.jpg;;;;;;;;;;;
98;Frau;Juengling;Ruedi;Churerstrasse 21;53175;Bonn;DE;ruedi.juengling@gmail.ch;0049 55 123 45 67 ;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_6.jpg;;;;;;;;;;;
100;Herr;King;Rosmarie;Churerstrasse 37;78713;Schramberg ;DE;rosmarie.king@gmail.ch;0049 74 22  52 597;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_7.jpg;;;;;;;;;;;
102;Frau;Koch;Roman;Churerstrasse 64;8808;Pfaeffikon;CH;roman.koch@gmail.ch;055 420 20 53;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_8.jpg;;;;;;;;;;;
105;Frau;Koller;Rolf;Dorfplatz 9;8854;Siebnen;CH;rolf.koller@gmail.ch;055 440 39 56;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_9.jpg;;;;;;;;;;;
106;Frau;Koepfli;Roland;Dorfstrasse 40;8045;Zuerich;CH;roland.koepfli@gmail.ch;044 463 37 53;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_10.jpg;;;;;;;;;;;
109;Herr;Krieg;Roes;Ebenau 4;8853;Lachen;CH;roes.krieg@gmail.ch;055 442 80 32;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_11.jpg;;;;;;;;;;;
110;Frau;Krieg;Rita;Eichwisstrasse 31;8853;Lachen;CH;rita.krieg@gmail.ch;055 442 80 32;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_12.jpg;;;;;;;;;;;
112;Familie;Krieg;Rita;Eisenburgstrasse 40;8853;Lachen;CH;rita.krieg@gmail.ch;055 442 80 32;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_1.jpg;;;;;;;;;;;
113;Frau;Krieger;Richi;Engelhofstrasse 19;8853;Lachen;CH;richi.krieger@gmail.ch;055 442 91 70;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_2.jpg;;;;;;;;;;;
116;Herr;Kussberger;Richard;Engelplatz 12;78713;Schramberg ;DE;richard.kussberger@gmail.ch;0049  7422 3872;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_3.jpg;;;;;;;;;;;
117;Frau;Kuettel;Riccardo;Etzelstrasse 1;8832;Wollerau;CH;riccardo.kuettel@gmail.ch;044 784 10 73;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_4.jpg;;;;;;;;;;;
118;Frau;Laib;Ren‚;Etzelstrasse 80;8855;Nuolen;CH;ren‚.laib@gmail.ch;055 440 32 92;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_5.jpg;;;;;;;;;;;
120;Frau;Landolt;Ren‚;Etzelstrasse 80;8807;Freienbach;CH;ren‚.landolt@gmail.ch;055 410 19 49;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_6.jpg;;;;;;;;;;;
121;Herr;Lang;Reinhard;Eulenweg 24;8853;Lachen;CH;reinhard.lang@gmail.ch;055 442 91 70;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_7.jpg;;;;;;;;;;;
122;Frau;Laeubli;Raphael;Feldmoostrasse 5;8808;Pfaeffikon;CH;raphael.laeubli@gmail.ch;055 410 31 38;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_8.jpg;;;;;;;;;;;
126;Frau;Lurati;Ramona;Feldstrasse 11;8634;Hombrechtikon;CH;ramona.lurati@gmail.ch;055 534 09 67;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_9.jpg;;;;;;;;;;;
129;Frau;Maechler;Ramon;Feldstrasse 11;8853;Lachen;CH;ramon.maechler@gmail.ch;055 442 17 58;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_10.jpg;;;;;;;;;;;
131;Frau;Maechler;Pius;Feldstrasse 16;8854;Siebnen;CH;pius.maechler@gmail.ch;055 440 23 74;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_11.jpg;;;;;;;;;;;
128;Frau;Maechler-Diethelm;Pirmin;Feldstrasse 16;8863;Buttikon;CH;pirmin.maechler-diethelm@gmail.ch;055 440 33 70;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_12.jpg;;;;;;;;;;;
132;Frau;Maeder;Pia;Feldstrasse 17c;8807;Freienbach;CH;pia.maeder@gmail.ch;055 410 21 40;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_1.jpg;;;;;;;;;;;
133;Herr;Mannhart;Pia;Feldstrasse 19;8708;Maennedorf;CH;pia.mannhart@gmail.ch;044 790 22 00;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_2.jpg;;;;;;;;;;;
134;Familie;Mannhart;Pia;Felsenstrasse 20;8708;Maennedorf;CH;pia.mannhart@gmail.ch;044 790 22 00;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_3.jpg;;;;;;;;;;;
135;Herr;Gestorben Marty;Philippe;Fluelastrasse 31a;8853;Lachen;CH;philippe.gestorben marty@gmail.ch;055 442 16 29;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_4.jpg;;;;;;;;;;;
137;Herr;Marty;Peter;Foehnloch 5;8852;Altendorf;CH;peter.marty@gmail.ch;055 442 30 14;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_5.jpg;;;;;;;;;;;
140;Herr;Marty;Paul;Gartenstrasse 15;8852;Altendorf;CH;paul.marty@gmail.ch;044 231 88 67;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_6.jpg;;;;;;;;;;;
146;Herr;Mc Namee;Patrick;Gartenstrasse 16;8853;Lachen;CH;patrick.mc namee@gmail.ch;055 442 46 26;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_7.jpg;;;;;;;;;;;
147;Herr;Meier;Patricia;Gartenstrasse 19;8862;Schuebelbach;CH;patricia.meier@gmail.ch;055 440 22 15;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_8.jpg;;;;;;;;;;;
148;Herr;Winkelmann;Otto;Gartenstrasse 4;6103;Schwarzenberg;CH;otto.winkelmann@gmail.ch;041 320 47 15;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_9.jpg;;;;;;;;;;;
149;Frau;Meister;Oliver;Gartenstrasse 4;8854;Siebnen;CH;oliver.meister@gmail.ch;055 440 31 17;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_10.jpg;;;;;;;;;;;
151;Frau;Mohn;Nelly;Gartenstrasse 4;8853;Lachen;CH;nelly.mohn@gmail.ch;055 442 13 65;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_11.jpg;;;;;;;;;;;
153;Herr;Mueller;Nadine;Gartenstrasse 4;8718;Schaenis;CH;nadine.mueller@gmail.ch;055 615 17 28;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_12.jpg;;;;;;;;;;;
154;Familie;Mueller;Myrta;Gerbiweg 1;8806;Baech;CH;myrta.mueller@gmail.ch;032 349 99 77;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_1.jpg;;;;;;;;;;;
155;Frau;Mueller;Myriam;Gerbiweg 1;8806;Baech;CH;myriam.mueller@gmail.ch;033 349 99 77;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_2.jpg;;;;;;;;;;;
156;Frau;Mueller;Moritz;Gerbiweg 1;8808;Pfaeffikon;CH;moritz.mueller@gmail.ch;055 410 27 56;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_3.jpg;;;;;;;;;;;
158;Verein;Naturfreunde;Monika;Gerbiweg 1;3001;Bern;CH;monika.naturfreunde@gmail.ch;044 920 11 22;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_4.jpg;;;;;;;;;;;
159;Frau;Palfner;Monika;Glaernischstrasse 191;8853;Lachen;CH;monika.palfner@gmail.ch;055 442 53 39;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_5.jpg;;;;;;;;;;;
161;Herr;Ramensberger;Monica;Glaernischstrasse 191;8715;Bollingen;CH;monica.ramensberger@gmail.ch;055 212 63 39;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_6.jpg;;;;;;;;;;;
165;Herr;Rauchenstein;Monica;Glaernischstrasse 8;8853;Lachen;CH;monica.rauchenstein@gmail.ch;055 442 11 17;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_7.jpg;;;;;;;;;;;
166;Herr;Rauchenstein;Marvin;Glaernischstrasse 8;8853;Lachen;CH;marvin.rauchenstein@gmail.ch;055 442 63 04;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_8.jpg;;;;;;;;;;;
168;Herr;Rebstein;Martin;Glarnerstrasse 47;8808;Pfaeffikon;CH;martin.rebstein@gmail.ch;055 410 25 59;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_9.jpg;;;;;;;;;;;
169;Frau;Rechsteiner;Martin;Gnossenweg 8;8808;Pfaeffikon SZ;CH;martin.rechsteiner@gmail.ch;044 784 86 50;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_10.jpg;;;;;;;;;;;
170;Herr;Rothlin;Martin;Gnossenweg 8;8855;Wangen;CH;martin.rothlin@gmail.ch;055 440 32 38;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_11.jpg;;;;;;;;;;;
177;Herr;Rueegg;Martha ;Grossgadenstrass 16;8645;Jona;CH;martha .rueegg@gmail.ch;055 212 56 08;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_12.jpg;;;;;;;;;;;
178;Herr;Rueegg;Martha;Gruetstrasse 21;8808;Pfaeffikon;CH;martha.rueegg@gmail.ch;055 410 13 94;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_1.jpg;;;;;;;;;;;
180;Frau;Ruoss;Markus;Gruetstrasse 25;8862;Schuebelbach;CH;markus.ruoss@gmail.ch;055 440 30 56;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_2.jpg;;;;;;;;;;;
182;Frau;Saglam;Marion;Gruetstrasse 25;8834;Schindellegi;CH;marion.saglam@gmail.ch;044 784 80 69;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_3.jpg;;;;;;;;;;;
183;Frau;Schaerer;Mario;Gugelbergstrasse 8;8808;Pfaeffikon;CH;mario.schaerer@gmail.ch;055 410 38 65;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_4.jpg;;;;;;;;;;;
184;Herr;Schatt;Marie-Theres;Gweerhofstr. 10;8855;Wangen;CH;marie-theres.schatt@gmail.ch;076 433 46 10;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_5.jpg;;;;;;;;;;;
185;Herr;Schaetti;Marianne;Gweerhofstrasse 10;8854;Galgenen;CH;marianne.schaetti@gmail.ch;055 440 44 02;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_6.jpg;;;;;;;;;;;
188;Herr;Schmalz;Maria de Lourdes;Gweerhofstrasse 17;8853;Lachen;CH;maria de lourdes.schmalz@gmail.ch;055 212 56 08;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_7.jpg;;;;;;;;;;;
189;Frau;Schmid;Maria;Haglen 1;8854;Galgenen;CH;maria.schmid@gmail.ch;055 440 24 61;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_8.jpg;;;;;;;;;;;
190;Herr;Kern;Maria;Hermannsweidstrasse 6;77781;Biberach;DE;maria.kern@gmail.ch;044 920 11 22;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_9.jpg;;;;;;;;;;;
193;Herr;Schmuki;Margrit;Herrengasse 14;8853;Lachen;CH;margrit.schmuki@gmail.ch;055 442 17 82;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_10.jpg;;;;;;;;;;;
194;Familie;Schnellmann;Margrit;Herrengasse 14;8855;Wangen;CH;margrit.schnellmann@gmail.ch;055 440 31 53;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_11.jpg;;;;;;;;;;;
195;Frau;Schnellmann;Margrit;Hofstrasse 22;8855;Wangen;CH;margrit.schnellmann@gmail.ch;055 440 31 53;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_12.jpg;;;;;;;;;;;
196;Frau;Schorer;Margret;Hotel Palazzo Salis;8858;Innerthal;CH;margret.schorer@gmail.ch;055 446 17 10;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_1.jpg;;;;;;;;;;;
198;Frau;Schuler;Margret;Hotel Palazzo Salis;8832;Wilen b. Wollerau;CH;margret.schuler@gmail.ch;055 420 23 06;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_2.jpg;;;;;;;;;;;
199;Herr;Schuler;Marcel;Hotel Palazzo Salis;8853;Lachen;CH;marcel.schuler@gmail.ch;055 442 36 88;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_3.jpg;;;;;;;;;;;
202;Familie;Schuetz;Maja;Hurdnerwaeldlistrasse 25;8853;Lachen;CH;maja.schuetz@gmail.ch;055 442 76 59;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_4.jpg;;;;;;;;;;;
203;Frau;Schweizer;Lotte;Hurdnerwaeldlistrasse 25;8832;Wollerau;CH;lotte.schweizer@gmail.ch;044 784 49 40;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_5.jpg;;;;;;;;;;;
204;Frau;Schwendeler;Lorena;Im Hangetli 10;8853;Lachen;CH;lorena.schwendeler@gmail.ch;055 442 33 87;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_6.jpg;;;;;;;;;;;
208;Frau;Schwiter;Lina;im Hangetli 7;8853;Lachen;CH;lina.schwiter@gmail.ch;055 442 33 09;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_7.jpg;;;;;;;;;;;
209;Familie;Seitz;Leopold;im Hangetli 7;8808;Pfaeffikon;CH;leopold.seitz@gmail.ch;055 410 24 92;www.nzz.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_8.jpg;;;;;;;;;;;
210;Frau;Seunig;Leo;Im Stoeckli 4;8856;Tuggen;CH;leo.seunig@gmail.ch;055 440 27 82;www.20min.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_9.jpg;;;;;;;;;;;
211;Herr;Sidler;Franz;Im Winkel 7;8808;Pfaeffikon;CH;franz.sidler@gmail.ch;055 410 15 33;www.blick.ch;http://hwz.brunnenhoefli.ch/GenPortraet/Bild_10.jpg;;;;;;;;;;;
